Price,Currency,Year,Condition,Total Hours,Total Seats,Flight Rules,Category,Propulsion,No. Engines,Make,Model,City,State,Country,Continent,National Origin,Eng. 1 Hours,Maint. Eng. 1,Eng. 2 Hours,Maint. Eng. 2,Prop. 1 Hours,Maint. Prop. 1,Prop. 2 Hours,Maint. Prop. 2,text
65000.0,USD,2000,Used,,,,Airplane,Piston Engine,1,Van'S Aircraft,Rv-6/6A,WALLA WALLA,WA,United States,,United States,,,,,,,,,$
82300.0,USD,1968,Used,5092.0,4,IFR,Airplane,Piston Engine,1,Cessna,182 Skylane,Falcon,CO,United States,,United States,411.0,SMOH,,,,SNEW,,,$
85000.0,USD,2008,Used,200.0,,,Airplane,Piston Engine,1,Remos,Gx,Marion,NC,United States,,Germany,,,,,,,,,$
150000.0,USD,1977,Used,5350.0,5,IFR,Airplane,Piston Engine,2,Piper Aircraft,Seneca Ii,Tulsa,OK,United States,,United States,480.0,SOH,400.0,SOH,900.0,SOH,900.0,SOH,$
39900.0,USD,1967,Used,2345.0,4,,Airplane,Piston Engine,1,Beechcraft,A23-19 Musketeer Sport Iii,McKinny,TX,United States,,United States,0.0,SMOH,,,,,,,$
125000.0,USD,2005,Used,1325.0,2,VFR,Rotorcraft,Piston Engine,,Robinson Helicopter,R22 Beta Ii,JOHN WAYNE AIRPORT SNA,CA,United States,,United States,1325.0,,,,,,,,$
39500.0,USD,1959,Used,8578.0,2,IFR,Airplane,Piston Engine,1,Cessna,150,Middletown,OH,United States,,United States,730.0,SMOH,,,,SNEW,,,$
59000.0,USD,1973,Used,6560.0,4,VFR,Airplane,Piston Engine,1,Piper Aircraft,Cherokee 140,Stuart,FL,United States,,United States,250.0,SMOH,,,,SPOH,,,$
79000.0,USD,1985,Used,2190.0,4,IFR,Airplane,Piston Engine,1,Maule Air,M-6-235,Inver Grove Hts,MN,United States,,United States,2190.0,SNEW,,,,SNEW,,,$
94000.0,USD,1964,Used,4820.0,5,IFR,Airplane,Piston Engine,1,Beechcraft,S35 Bonanza,peru,IL,United States,,United States,600.0,SMOH,,,,,,,$
365000.0,USD,1971,Used,,,,Rotorcraft,Turboshaft,,Bell Textron,206B Ii,Atlanta,GA,United States,,United States,,,,,,,,,$
49000.0,USD,1953,Used,2298.0,4,,Airplane,Piston Engine,1,Beechcraft,35 Bonanza,Auburn,WA,United States,,United States,911.0,SMOH,,,,,,,$
550000.0,,1977,,8656.0,,,Airplane,Turboprop,,Beechcraft,King Air B100,,,South Africa,Africa,United States,,,,,,,,,Price: USD $
50000.0,USD,1992,Used,497.0,2,VFR,Airplane,Piston Engine,1,Lancair,235,Mombasa,,Kenya,,United States,497.0,,,,,,,,$
35000.0,USD,1966,Used,9679.0,,IFR,Airplane,Piston Engine,1,Piper Aircraft,Cherokee 140,Chicago,IL,United States,,United States,1734.0,SMOH,,,,,,,$
